equipment_id,operator_id,utilization_date,cost,name,creation_date,title,category,maintenance_type_id,extra_info,maintenance_event_id,Maintenance_Date,birth_date
407,778,19/12/2025,953,Medina. Hill and Reed,17/11/2025,High,bill,,,,,25/07/1989
18,952,02/11/2025,2691,Hawkins Group,07/09/2025,Scene,citizen,,,,,28/03/1982
42,553,15/08/2025,2138,Henry. Richardson and Martinez,25/06/2025,Action,bring,,,,,06/01/1996
152,462,22/03/2023,4304,Santiago Ltd,30/11/2022,Mission,arrive,44,area,37,07/02/2023,20/10/1978
152,462,03/02/2023,4304,Santiago Ltd,30/11/2022,Mission,arrive,105,doctor,38,27/09/2024,20/10/1978
297,746,07/03/2026,3747,Montgomery. Harrington and Chavez,13/02/2026,Minute,away,,,,,16/01/1970
328,125,14/09/2024,4243,Heath. Garcia and Dalton,06/07/2023,Far,significant,62,fire,40,15/12/2024,07/12/1970
17,649,15/04/2023,3877,Li. Graves and Fields,13/06/2022,Technology,future,,,,,03/10/1987
222,986,21/09/2021,987,Barker and Sons,28/05/2021,Because,check,144,give,42,07/08/2022,28/07/1968
348,297,24/01/2022,2982,Reed-Arias,03/08/2021,Realize,woman,,,,,07/03/2002
209,387,25/09/2022,468,Garcia Inc,14/06/2022,Me,include,,,,,25/01/1990
35,911,05/06/2025,1265,Guerrero Ltd,09/05/2025,Senior,claim,,,,,23/05/1969
237,513,27/04/2025,4133,Francis. Martin and Martinez,12/04/2024,Middle,hold,,,,,15/07/1979
218,146,27/07/2022,1895,Tate LLC,22/01/2022,Young,public,126,really,47,02/01/2023,25/08/1967
218,146,20/03/2023,1895,Tate LLC,22/01/2022,Young,public,190,general,48,02/03/2022,25/08/1967
218,146,13/10/2022,1895,Tate LLC,22/01/2022,Young,public,195,part,49,10/09/2022,25/08/1967
346,971,13/02/2024,2472,Robertson. Williams and Miller,21/08/2023,Question,develop,,,,,15/10/1971
443,856,24/05/2025,831,Estrada. Young and White,25/04/2025,Minute,cost,,,,,11/06/1984
243,342,17/07/2025,4238,Morales. Gutierrez and Carter,16/01/2025,Behind,rise,3,may,52,24/03/2025,01/08/1980
453,289,24/03/2024,3340,Green-Johnson,15/04/2023,Director,son,95,improve,53,10/12/2024,18/12/1992
453,289,20/08/2024,3340,Green-Johnson,15/04/2023,Director,son,145,father,54,01/07/2023,18/12/1992
62,540,23/01/2025,3237,Pineda. Frazier and Hardy,13/06/2024,Somebody,page,,,,,28/05/2002
71,277,11/06/2023,865,Scott-Olson,02/08/2022,Indicate,present,118,describe,56,23/03/2023,12/08/2002
414,467,17/02/2023,4261,Proctor and Sons,15/07/2022,Moment,discuss,,,,,28/05/1964
439,39,14/03/2023,1138,Smith. Davis and Landry,28/04/2022,Data,herself,,,,,06/11/1999
476,341,07/08/2023,1644,Blevins. Lucas and Cooper,06/08/2022,Road,over,,,,,06/09/1988
329,952,15/02/2022,2875,Adams. Gentry and Lee,06/11/2021,Scene,citizen,,,,,28/03/1982
420,630,10/05/2023,319,Randall-Smith,04/04/2023,Leave,determine,,,,,14/10/1972
195,265,02/06/2024,2979,Zuniga. Fry and Morris,20/06/2023,Mention,cause,,,,,07/10/1987
386,162,29/03/2024,3084,Roberts-Berry,28/05/2023,Small,program,17,gun,63,22/07/2024,24/08/1988
110,648,29/10/2025,4367,Hess. Gomez and Garrett,17/07/2024,Ago,good,,,,,04/02/1965
205,526,03/03/2026,2748,Walls. Fisher and Martin,18/01/2025,Red,land,56,good,65,27/09/2026,05/04/1986
308,849,08/08/2022,1908,Allen. Vaughan and Brown,01/08/2021,Center,building,,,,,31/08/1995
130,651,09/05/2025,4126,Walters-Rhodes,02/06/2024,Turn,indicate,,,,,04/02/1995
455,489,19/08/2023,340,Rivers PLC,12/12/2022,Artist,walk,,,,,14/03/1966
183,752,22/10/2021,1483,Humphrey. Scott and Murphy,09/06/2021,Husband,building,81,series,69,24/02/2023,22/03/1973
175,954,06/01/2026,577,Wilson. Jones and Pierce,01/01/2025,Song,kind,,,,,16/09/1982
127,737,02/07/2025,121,Friedman LLC,03/05/2025,Send,table,,,,,05/09/1994
425,549,11/09/2025,1064,Cole. Collins and Hayes,24/08/2024,Two,east,85,deep,72,09/01/2025,02/04/1998
355,813,22/10/2023,320,Hatfield Group,01/05/2023,Building,which,,,,,25/04/1983
247,366,14/10/2025,2957,Ali-Nelson,21/10/2024,Idea,price,121,idea,74,01/02/2026,20/03/1978
214,199,30/03/2023,3203,Smith-Barber,09/07/2022,Factor,area,,,,,30/10/1977
225,115,13/03/2023,939,Sampson-Willis,21/07/2022,Physical,situation,35,leave,76,09/12/2022,08/06/2003
225,115,18/09/2022,939,Sampson-Willis,21/07/2022,Physical,situation,51,these,77,06/09/2022,08/06/2003
225,115,26/06/2023,939,Sampson-Willis,21/07/2022,Physical,situation,61,factor,78,24/01/2023,08/06/2003
237,651,08/01/2025,952,Francis. Martin and Martinez,12/04/2024,Turn,indicate,,,,,04/02/1995
356,293,15/08/2022,1787,Green PLC,02/01/2022,Wrong,drop,,,,,26/12/1994
488,951,29/11/2024,2863,West-Saunders,04/01/2024,Back,item,,,,,26/04/1996
189,197,10/12/2025,4827,Meyer-Ward,01/11/2025,Theory,child,,,,,03/04/1987
177,848,05/04/2023,3128,Smith PLC,13/07/2022,Forward,rate,,,,,12/09/1979
243,899,12/02/2025,906,Morales. Gutierrez and Carter,16/01/2025,Wish,name,3,may,84,06/04/2025,03/09/1988
470,523,16/04/2026,3120,Walker Group,25/09/2025,Skin,myself,198,onto,85,14/08/2027,19/03/1969
388,266,13/01/2026,869,Ramos-Cook,14/11/2025,Interview,smile,,,,,14/10/1977
306,284,24/03/2025,1312,Bond LLC,11/08/2024,Religious,college,,,,,30/05/1973
467,348,31/03/2024,1234,Davis-Barajas,01/02/2023,Others,political,,,,,14/01/1996
19,892,19/04/2022,2366,Dixon. Cox and James,16/11/2021,Event,mouth,,,,,07/02/1963
127,782,27/06/2025,545,Friedman LLC,03/05/2025,Listen,begin,,,,,21/07/1977
11,751,22/02/2022,4504,Burnett. Ferguson and Williams,07/02/2022,Thousand,old,,,,,12/07/1969
327,15,28/02/2024,2643,Lawrence. Long and Solomon,10/11/2023,Air,hold,,,,,06/04/1981
373,555,20/01/2024,4648,Stephens. Brooks and Robertson,24/05/2023,Here,commercial,,,,,27/06/1969
52,972,14/02/2025,1866,Frye. Bond and Lewis,12/12/2024,Hundred,instead,32,mention,94,18/11/2025,03/07/1975
52,972,02/06/2025,1866,Frye. Bond and Lewis,12/12/2024,Hundred,instead,34,without,95,26/06/2026,03/07/1975
52,972,02/04/2026,1866,Frye. Bond and Lewis,12/12/2024,Hundred,instead,120,pretty,96,12/11/2025,03/07/1975
67,337,21/10/2022,3180,White. Martin and Gomez,12/06/2021,Factor,plan,,,,,20/12/2002
179,26,11/09/2022,2121,Moss-Fuller,29/10/2021,Throw,hour,,,,,21/09/1996
480,929,04/11/2025,4567,Campos. Bailey and Suarez,16/04/2025,Child,million,72,get,99,06/07/2026,17/07/2003
422,546,24/11/2024,2491,Hendricks. Day and Hill,15/03/2024,Public,buy,,,,,24/09/1995
249,126,05/11/2022,2364,Hartman. Walker and Carpenter,20/11/2021,Result,because,,,,,07/05/1975
97,959,04/06/2023,2196,Mccarthy-Johnson,06/04/2023,Pull,eight,200,sing,102,12/10/2023,31/08/1974
260,659,30/08/2023,999,Mcintyre-Mccall,04/10/2022,Time,blue,,,,,22/04/1981
333,729,26/09/2021,1848,Thomas-Duran,04/09/2021,Democrat,night,57,money,104,19/06/2022,29/03/2001
51,517,28/07/2021,2444,Farley. Best and Hunt,27/03/2021,Continue,agent,,,,,05/03/1983
317,150,22/12/2022,844,Dennis. Johnson and Golden,01/10/2022,Sea,hair,191,purpose,106,13/12/2023,23/06/1993
116,526,31/08/2023,1160,Alvarez and Sons,29/08/2022,Red,land,,,,,05/04/1986
488,191,28/03/2024,1200,West-Saunders,04/01/2024,Production,chance,,,,,05/08/2003
403,795,07/11/2022,2821,Lowery. Johnson and Martinez,22/10/2022,Direction,rock,,,,,01/10/1965
321,510,29/09/2023,580,Reed-Joyce,13/07/2023,Executive,very,82,it,110,19/04/2024,22/12/1962
345,105,04/08/2024,3223,Ryan Ltd,10/05/2024,Actually,officer,,,,,22/11/1969
376,158,28/02/2024,702,Neal LLC,23/03/2023,Develop,exactly,167,toward,112,11/01/2025,21/07/1989
159,226,25/03/2023,1503,Singh. Adams and Arnold,12/11/2021,Trip,decision,77,my,113,13/04/2022,16/09/1963
132,510,04/07/2024,4956,Romero Group,19/12/2023,Executive,very,180,hundred,114,11/04/2024,22/12/1962
149,305,24/02/2025,944,Ramos. King and Wilson,22/05/2024,Despite,edge,,,,,01/03/1968
273,725,02/12/2025,3584,Bradley. Hawkins and Lambert,05/10/2025,Protect,kid,,,,,21/12/1999
183,782,28/11/2021,667,Humphrey. Scott and Murphy,09/06/2021,Listen,begin,81,series,117,17/11/2022,21/07/1977
367,371,25/07/2022,3015,Ayers-Cohen,10/05/2022,Recently,order,,,,,10/07/1987
466,164,26/02/2023,942,Floyd-Nelson,17/11/2021,Expert,participant,,,,,17/12/1966
115,815,24/12/2022,1133,Duncan-Walters,25/11/2021,Carry,spring,,,,,08/08/1984
425,763,24/02/2025,1903,Cole. Collins and Hayes,24/08/2024,While,change,85,deep,121,15/09/2024,14/05/1999
478,74,07/03/2026,3595,Kelley Ltd,02/07/2025,Hair,worker,113,difference,122,14/10/2026,25/12/1994
198,375,15/09/2023,1269,Gray-Mitchell,08/05/2022,Since,explain,,,,,12/02/1967
133,824,04/03/2026,4503,Sanchez-Wilkinson,20/10/2024,Short,final,74,manager,124,06/08/2026,10/07/2002
133,824,19/01/2025,4503,Sanchez-Wilkinson,20/10/2024,Short,final,84,protect,125,15/07/2025,10/07/2002
53,373,18/03/2025,2791,Garrison. Taylor and Williamson,29/01/2024,Series,career,,,,,09/11/1964
482,482,09/12/2025,1971,Garcia. Kennedy and Velazquez,04/12/2024,Current,agent,2,point,127,16/08/2025,07/09/1973
482,482,24/03/2025,1971,Garcia. Kennedy and Velazquez,04/12/2024,Current,agent,23,trip,128,07/01/2026,07/09/1973
239,733,06/07/2022,2676,Castro-Jackson,30/05/2021,Agency,apply,,,,,23/04/1971
478,367,29/07/2025,2495,Kelley Ltd,02/07/2025,Together,get,113,difference,130,17/09/2025,15/05/1996
499,203,02/10/2022,1132,Smith. Johnson and Grant,19/09/2021,Dog,ok,,,,,07/06/1980
360,985,07/06/2024,597,Fox-Lara,11/02/2024,Late,teach,,,,,09/06/1992
62,55,18/10/2024,317,Pineda. Frazier and Hardy,13/06/2024,Whole,Republican,,,,,02/02/1972
381,191,10/06/2021,3198,Dalton and Sons,04/06/2021,Production,chance,,,,,05/08/2003
130,615,15/02/2025,4416,Walters-Rhodes,02/06/2024,Least,grow,,,,,15/07/1978
189,702,10/12/2025,1387,Meyer-Ward,01/11/2025,Blue,single,,,,,27/12/2001
168,10,13/04/2023,161,Patterson-Hampton,13/08/2022,Dream,rather,,,,,30/06/1973
143,513,19/02/2025,4985,Jefferson-Massey,10/01/2024,Middle,hold,73,southern,138,16/09/2025,15/07/1979
159,463,09/08/2022,1309,Singh. Adams and Arnold,12/11/2021,Newspaper,people,77,my,139,30/12/2021,10/12/1988
117,271,13/10/2021,117,Jones-Arnold,15/05/2021,Church,election,,,,,05/03/1981
118,3,01/04/2024,2336,Williams Ltd,16/01/2024,Space,risk,,,,,29/08/1998
229,724,22/02/2026,3737,Meyer and Sons,29/12/2025,Black,tonight,,,,,27/10/1990
436,910,04/03/2026,4387,Rodriguez and Sons,10/01/2025,Take,send,,,,,08/09/1987
483,942,05/04/2022,1019,Cunningham LLC,17/12/2021,Budget,cost,,,,,08/12/1991
109,647,13/01/2023,4626,Ferguson. Jackson and Palmer,16/12/2022,Begin,modern,,,,,25/04/1964
17,187,12/02/2023,460,Li. Graves and Fields,13/06/2022,Truth,clear,,,,,20/07/1980
453,134,20/09/2023,3687,Green-Johnson,15/04/2023,Country,clearly,95,improve,147,08/04/2024,05/09/1991
453,134,06/11/2023,3687,Green-Johnson,15/04/2023,Country,clearly,145,father,148,29/08/2023,05/09/1991
362,748,01/10/2022,3620,Madden-Olson,09/06/2021,First,business,,,,,16/09/1977
181,684,03/09/2025,2286,Fisher. King and Miller,16/07/2025,Game,data,,,,,15/05/1976
176,130,17/07/2025,1069,Smith and Sons,09/05/2025,Relate,carry,,,,,08/11/1972
493,269,18/04/2023,3559,Morton Inc,14/04/2022,Together,so,,,,,17/10/1968
444,119,14/03/2024,1995,Barrett. Williamson and Carr,21/08/2023,Hotel,machine,,,,,27/03/1963
406,680,01/12/2024,3996,Davis Ltd,13/08/2023,Course,out,,,,,25/01/2004
243,752,13/02/2025,4299,Morales. Gutierrez and Carter,16/01/2025,Husband,building,3,may,155,06/07/2025,22/03/1973
240,899,07/02/2025,1564,Padilla LLC,06/09/2024,Wish,name,,,,,03/09/1988
185,590,29/05/2025,1862,Mckenzie-Price,10/08/2024,Economic,event,,,,,05/11/1962
27,957,19/12/2021,2695,Padilla. Butler and Ortiz,27/07/2021,Add,key,,,,,04/12/2004
380,311,07/06/2023,2458,Hernandez-Miller,12/11/2022,Off,believe,,,,,14/01/1970
282,169,30/12/2024,2569,Peterson LLC,18/10/2024,Indeed,party,,,,,09/05/1988
115,374,28/01/2022,3036,Duncan-Walters,25/11/2021,Back,nothing,,,,,17/09/1973
281,791,01/11/2024,1702,Torres. Taylor and Collins,05/10/2023,Imagine,far,,,,,17/08/1968
309,731,27/07/2024,4566,Lopez. Young and Carter,12/06/2023,Door,American,,,,,07/07/1988
184,241,16/12/2022,2677,Wu Inc,30/12/2021,Yourself,available,,,,,09/01/2001
159,775,18/06/2022,4987,Singh. Adams and Arnold,12/11/2021,Society,opportunity,77,my,165,30/03/2023,04/05/1976
55,984,21/10/2022,3021,Collins and Sons,24/04/2022,Boy,break,114,care,166,31/05/2023,10/06/2000
54,166,23/09/2024,822,Chapman-Gibson,19/04/2024,Study,town,,,,,18/07/1979
272,976,16/05/2024,4051,Martinez Group,13/01/2023,Pass,I,,,,,24/12/2003
251,820,10/07/2024,4909,Anderson Group,25/01/2024,Down,trade,,,,,14/10/1968
362,887,28/07/2022,4841,Madden-Olson,09/06/2021,Black,speak,,,,,05/07/1965
161,502,02/08/2025,2238,Curtis. Ortiz and Page,09/11/2024,Western,word,,,,,22/02/1988
375,927,05/10/2021,1084,Roach-Brown,04/09/2021,Challenge,find,,,,,19/03/1985
294,543,21/01/2026,2694,Schmidt. Ramirez and Fry,27/12/2025,President,protect,,,,,01/07/1977
209,660,25/09/2022,482,Garcia Inc,14/06/2022,Social,meet,,,,,26/10/1973
434,196,24/01/2024,1792,Harding-Pittman,05/06/2023,Avoid,up,,,,,13/01/1997
170,451,16/03/2025,2191,Navarro and Sons,16/04/2024,Amount,unit,,,,,11/01/2002
32,992,13/12/2023,4756,Crawford-Clark,06/11/2022,Action,knowledge,20,why,177,04/07/2024,21/06/1987
94,490,17/04/2023,1938,Brown LLC,14/04/2022,Brother,could,28,enjoy,178,09/10/2022,21/03/1984
441,686,26/04/2025,1367,Brown-Campbell,30/03/2024,Her,year,,,,,05/02/1970
153,934,22/06/2025,1079,Henderson. English and Hernandez,11/05/2024,Machine,attention,,,,,18/11/1976
413,460,23/05/2022,698,Lang Group,08/03/2022,Care,his,165,face,181,11/02/2023,18/06/1963
246,349,21/02/2025,4105,Dunn. Garcia and Castro,03/03/2024,Treatment,fire,87,detail,182,25/04/2025,27/10/2000
246,349,08/01/2025,4105,Dunn. Garcia and Castro,03/03/2024,Treatment,fire,99,run,183,25/11/2024,27/10/2000
278,844,07/11/2025,4261,Newton-Hernandez,19/12/2024,Western,speech,119,resource,184,19/08/2025,02/11/1972
55,812,03/08/2022,2776,Collins and Sons,24/04/2022,They,child,114,care,185,22/04/2023,18/06/1975
345,577,22/11/2024,3713,Ryan Ltd,10/05/2024,Likely,stay,,,,,20/12/1974
219,350,24/11/2025,682,Terry. Jennings and Cook,18/08/2024,Seek,responsibility,157,bed,187,03/11/2024,30/12/2003
14,607,09/05/2023,3366,Chavez. Ellison and Oneill,21/04/2023,Protect,themselves,,,,,14/11/1986
133,887,07/11/2025,4203,Sanchez-Wilkinson,20/10/2024,Black,speak,74,manager,189,20/12/2024,05/07/1965
133,887,11/11/2024,4203,Sanchez-Wilkinson,20/10/2024,Black,speak,84,protect,190,20/11/2025,05/07/1965
129,140,06/08/2025,4437,Hall. Ritter and Howard,07/12/2024,Hotel,kitchen,130,partner,191,29/05/2026,10/12/1996
230,9,14/02/2022,4688,Thompson-Terry,08/03/2021,Recently,stand,,,,,31/08/1977
495,986,01/11/2025,2893,Thompson. Cox and Weiss,28/09/2024,Because,check,,,,,28/07/1968
261,738,06/01/2024,914,Osborne-Davis,30/10/2023,Few,available,,,,,16/12/1992
33,289,30/05/2023,4955,Smith Inc,13/06/2022,Director,son,,,,,18/12/1992
251,473,08/06/2025,634,Anderson Group,25/01/2024,Gas,mother,,,,,17/06/1996
165,258,08/10/2022,2079,Robinson. Snow and Martin,16/08/2022,Young,mind,,,,,07/12/1973
304,816,21/12/2025,1734,Webb. Copeland and Bryan,12/11/2025,Institution,dinner,125,report,198,01/04/2026,28/12/1971
304,816,08/01/2026,1734,Webb. Copeland and Bryan,12/11/2025,Institution,dinner,153,subject,199,09/05/2026,28/12/1971
96,811,27/04/2022,4877,Ellis-Clark,07/03/2021,Call,exist,,,,,07/02/1970
155,778,17/04/2026,2916,Ho-Edwards,22/08/2025,High,bill,,,,,25/07/1989
35,539,07/07/2025,612,Guerrero Ltd,09/05/2025,Trip,office,,,,,23/08/1987
471,51,22/04/2024,201,Shaw. Smith and Lewis,06/09/2023,Music,admit,,,,,20/05/1989
321,210,17/08/2023,4316,Reed-Joyce,13/07/2023,Expect,close,82,it,204,26/04/2025,28/04/1965
274,161,16/06/2025,1272,Daniel-Aguirre,13/03/2024,Example,keep,98,better,205,25/06/2025,28/07/1988
390,433,22/08/2024,4611,Smith-Weeks,28/09/2023,Front,suddenly,109,customer,206,31/12/2024,20/01/1971
77,700,16/02/2024,2108,Smith. Bryant and Mcbride,08/11/2023,Commercial,himself,,,,,12/02/1986
42,642,14/08/2025,2884,Henry. Richardson and Martinez,25/06/2025,Financial,painting,,,,,30/10/2000
45,615,17/09/2022,2312,Huber Group,10/11/2021,Least,grow,,,,,15/07/1978
216,621,21/06/2025,2180,Wagner and Sons,30/04/2025,Sound,hope,,,,,10/01/1999
164,398,31/01/2025,4682,Black. Moses and Reed,20/12/2024,Under,account,,,,,03/07/1962
43,79,18/10/2021,3759,Wang Group,11/10/2021,Ten,drug,,,,,11/01/2001
391,477,12/01/2026,2123,Hayden. Rodriguez and Mitchell,12/09/2024,Far,around,,,,,30/05/1976
282,17,25/11/2025,4691,Peterson LLC,18/10/2024,Buy,painting,,,,,28/05/2003
336,92,19/12/2025,4558,Elliott. York and Solis,20/09/2025,Agreement,investment,,,,,14/06/1980
218,895,04/03/2022,264,Tate LLC,22/01/2022,Green,ability,126,really,216,02/11/2023,10/11/2002
218,895,18/09/2022,264,Tate LLC,22/01/2022,Green,ability,190,general,217,16/09/2022,10/11/2002
218,895,08/10/2022,264,Tate LLC,22/01/2022,Green,ability,195,part,218,21/05/2023,10/11/2002
417,997,10/03/2022,2417,Rodriguez. Clark and Snow,14/08/2021,Game,between,,,,,12/03/2000
19,803,28/12/2022,1867,Dixon. Cox and James,16/11/2021,Can,doctor,,,,,28/06/1982
162,316,24/10/2024,786,White. Harmon and Cannon,17/03/2024,Surface,finish,141,sense,221,11/03/2025,26/08/1971
241,321,07/06/2023,4944,Baker-Glenn,02/04/2023,Modern,follow,,,,,25/02/1972
192,473,27/05/2022,3282,Torres. Hart and Morse,26/08/2021,Gas,mother,,,,,17/06/1996
125,368,28/10/2024,389,Price and Sons,17/08/2024,Somebody,environment,,,,,21/09/1969
44,915,10/02/2025,2467,Nicholson. Meyer and Alexander,22/10/2024,Pass,machine,94,case,225,14/04/2026,14/03/2002
134,501,23/05/2025,4716,Wilkinson Inc,07/07/2024,Rich,owner,,,,,25/07/2002
88,871,29/09/2021,1407,Hoffman-Hall,28/05/2021,Letter,understand,,,,,17/09/1981
127,19,23/03/2026,3005,Friedman LLC,03/05/2025,Industry,anyone,,,,,03/12/1973
329,658,11/05/2022,4158,Adams. Gentry and Lee,06/11/2021,Artist,citizen,,,,,15/10/1978
186,254,27/02/2024,4058,Flores-Lewis,29/08/2023,Set,prepare,,,,,17/12/1977
103,617,14/11/2024,4864,Jacobs Group,10/11/2024,Test,term,,,,,26/03/1991
259,106,28/06/2025,2193,Mitchell. Austin and Stevens,03/10/2024,Blood,war,,,,,20/06/2000
73,908,22/12/2025,2161,Lewis-Ramirez,15/12/2024,Before,yeah,,,,,08/04/1964
266,60,25/12/2025,2745,Smith Inc,18/07/2025,Fill,strong,197,person,234,27/03/2026,22/12/2001
237,420,06/02/2025,4948,Francis. Martin and Martinez,12/04/2024,Third,in,,,,,09/01/1979
111,534,20/03/2026,358,Simon. Torres and Marshall,15/08/2025,History,wrong,,,,,21/09/1986
491,70,15/12/2025,4616,Roberson. Kaiser and Jones,15/08/2025,With,go,,,,,23/01/1989
458,942,13/05/2024,143,Williams Group,21/12/2023,Budget,cost,88,smile,238,20/06/2025,08/12/1991
257,453,03/05/2024,4780,Parker-Johnson,15/10/2023,Should,side,,,,,26/12/1999
110,624,22/01/2025,1823,Hess. Gomez and Garrett,17/07/2024,College,chair,,,,,30/10/1982
112,173,13/07/2025,3548,Jennings. Mcdowell and Anderson,18/06/2025,Nation,difference,,,,,29/05/1983
235,640,05/03/2024,3268,Gallegos-Glover,26/03/2023,Movie,turn,,,,,10/03/1969
407,900,04/01/2026,2347,Medina. Hill and Reed,17/11/2025,Face,second,,,,,30/12/1987
403,677,17/02/2023,3744,Lowery. Johnson and Martinez,22/10/2022,Help,lose,,,,,06/03/1982
206,816,16/06/2023,275,Gray Group,24/10/2022,Institution,dinner,24,stay,245,20/04/2024,28/12/1971
206,816,25/02/2023,275,Gray Group,24/10/2022,Institution,dinner,37,yes,246,23/04/2023,28/12/1971
136,915,27/11/2025,1951,Roberts-Valencia,29/08/2025,Pass,machine,,,,,14/03/2002
191,441,17/09/2025,2242,Anderson-Hicks,23/11/2024,Amount,animal,,,,,11/11/1976
118,807,23/11/2024,4129,Williams Ltd,16/01/2024,Senior,so,,,,,08/07/1992
320,876,26/06/2023,1291,Richard. Yang and Davis,07/05/2022,Serve,improve,19,feel,250,19/10/2022,18/04/1998
320,876,06/03/2023,1291,Richard. Yang and Davis,07/05/2022,Serve,improve,52,child,251,29/05/2022,18/04/1998
320,876,31/12/2022,1291,Richard. Yang and Davis,07/05/2022,Serve,improve,132,evidence,252,16/09/2022,18/04/1998
378,264,11/06/2025,2798,Conner. Jones and Palmer,29/01/2025,Pick,majority,67,season,253,22/10/2025,21/04/1997
360,252,14/09/2024,225,Fox-Lara,11/02/2024,Indicate,success,,,,,12/07/1985
5,564,10/01/2024,1468,Diaz Group,17/07/2023,Course,put,,,,,04/11/1982
433,866,03/12/2024,3404,Marsh-Martinez,20/07/2024,Education,budget,,,,,27/01/1973
330,234,20/08/2025,2449,Deleon. Ramos and Kennedy,19/08/2024,Use,low,,,,,18/04/1973
4,910,08/04/2023,4416,Bailey and Sons,02/07/2022,Take,send,136,yourself,258,13/12/2022,08/09/1987
61,774,01/03/2026,2754,Peck-Brown,07/12/2025,Weight,enough,,,,,25/05/1988
261,534,27/12/2024,4687,Osborne-Davis,30/10/2023,History,wrong,,,,,21/09/1986
210,612,06/10/2022,4555,Clay. Sandoval and Davis,29/09/2021,Save,financial,183,way,261,26/07/2022,08/07/2002
215,137,03/06/2024,3034,Campos PLC,31/07/2023,Bad,half,33,part,262,20/05/2025,13/01/1974
215,137,22/04/2024,3034,Campos PLC,31/07/2023,Bad,half,76,level,263,23/04/2025,13/01/1974
215,137,12/10/2024,3034,Campos PLC,31/07/2023,Bad,half,186,stuff,264,07/04/2025,13/01/1974
399,343,21/11/2025,4219,Powell-Gutierrez,01/04/2025,One,others,,,,,05/04/1975
496,762,13/07/2022,612,Boone. Thompson and Brown,30/04/2021,Like,bring,181,result,266,30/10/2022,24/09/2002
